"Table S3:Summary statistics for the analysis of trait divergence and nodal trait values (± SD) for each node of the Glomeromycota phylogeny. Each row represents either the average across host species or each individual host. The top row indicates AM fungal genera and species affiliations and the corresponding abbreviated genus and species affiliations of isolates (See Fig. 1 and Table S1). The second row lists the node numbers from the phylogeny in Fig. 1, and are associated with the contribution index (CI) for each node. The CI values are shown as percentages, so that the sum of all CI values of all nodes always add to 100%. Note that the second last column represents the root node of the Glomeromycota (node 31). Trait values for the species nodes of the phylogeny (“extant AM fungi”) are highlighted in grey and nodes above the AM fungal species level are not highlighted. The CI for each trait and node is shown in the first line in each row. Nodes that contributed greater than expected variability (a high CI) are indicated by the letter D (“Divergence”), followed by the level of significance. Nodes that contributed less than expected variability (a low CI) are marked by the letter s (“stasis”), followed by the level of significance. The last column shows the summed percent contribution index (sum.CIr) of all species level nodes (those highlighted in grey) for each trait to investigate how much of trait variability was explained at the species level (i.e., among isolates within species). Summed CI values >50% indicate that a majority of variation is accounted for by divergences within species, whereas summed CI values <50% indicate that a majority of variation is accounted for by divergences above the species level (i.e., at the family and sub-family levels). The second line on each row is the mean trait value for a node ± SD, calculated as the average of isolates descended from that node. For each trait and host species, the analyses were based on the overall least-square values of each isolate and plant species (Achillea millefolium, Bromus inermis and Medicago sativa, abbreviated as A. mill, B. iner and M. sati, respectively). The overall effect across host species was assessed by the mean across hosts least-square values for each isolate (“Overall”). Traits analyzed were total plant dry weight (DW), root to shoot ratio (R / S), total arbuscular, vesicular and root hyphal volumes (Arb. V, Ves. V and Root HV, respectively), total extraradical hyphal volume (EHV), number of AM fungal spores per gram dried substrate (Spore #), total AM fungal spore volume (Spore V), root fungal volume (Root FV, i.e., the sum of Arb. V, Ves. V and RH V), total soil fungal volume (Soil FV, i.e., the sum of EHV and Spore V), total fungal volume (FV, i.e., the sum of Root FV and Soil FV), the percentage of Root FV from the FV (% RVF) and the percentage of Spore V from the Soil FV (% SV). For consistency with Fig. 1 all plant DW values are given in grams, R / S ratios are dimensionless (i.e., total root dry weight [g] / total shoot dry weight [g]) and all fungal volume traits are given in cubic millimeters per container.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean ± SD,0.752 ± 0.177,0.75 ± 0.329,0.751 ± 0.001,0.748 ± 0.38,0.92 ± 0.37,0.829 ± 0.122,0.789 ± 0.055,0.694 ± 0.141,0.569 ± 0.004,0.635 ± 0.088,0.579 ± 0.051,0.606 ± 0.04,0.498 ± 0.025,0.547 ± 0.076,0.667 ± 0.171,0.75 ± 0.422,0.672 ± 0.193,0.713 ± 0.056,0.514 ± 0.068,0.591 ± 0.145,0.552 ± 0.014,0.714 ± 0.273,0.637 ± 0.114,0.615 ± 0.032,0.64 ± 0.037,0.65 ± 0.211,0.646 ± 0.007,0.659 ± 0.156,0.546 ± 0.034,0.608 ± 0.081,0.626 ± 0.027,,
R / S,Overall,%CI,9.29,5.27,0.78,2,0.79,0.68,0.44,0.43,0.1,0.8,1.06,3.69,1.83,1.34,1.72,0.26,1.19,1.42,7.82,0.05,3.79,4.86,2.39,0.05,1.3,4.35,18.79,0.17 s*,0.05,7.44,15.86,43.26,
,,mean ± SD,2.042 ± 0.141,2.1 ± 0.151,2.07 ± 0.042,2.003 ± 0.093,2.072 ± 0.082,2.035 ± 0.049,2.053 ± 0.024,2.006 ± 0.043,1.931 ± 0.029,1.97 ± 0.053,2.106 ± 0.096,2.043 ± 0.096,1.966 ± 0.125,2.001 ± 0.055,2.027 ± 0.037,2.094 ± 0.034,1.994 ± 0.101,2.047 ± 0.071,2.058 ± 0.082,2.054 ± 0.008,2.008 ± 0.128,2.111 ± 0.102,2.062 ± 0.073,2.058 ± 0.006,2.043 ± 0.022,2.14 ± 0.112,2.102 ± 0.071,2.079 ± 0.022,1.866 ± 0.021,1.982 ± 0.151,2.041 ± 0.085,,
,A. mill,%CI,7.95,0.61,0.02,1.31,0.05,6.61,1.55,0.34,0.53,0.22,0.22,0.48,0.6,0.75,3.35,1.68,0.02,0.01 s+,26.48,6.2,0.89,3.28,0.22,0.18,1.02,5.74,4.52,9.06,0.26,7.84,8.01,59.02,
,,mean ± SD,1.933 ± 0.169,1.921 ± 0.066,1.927 ± 0.009,1.881 ± 0.097,2.159 ± 0.027,2.012 ± 0.197,1.969 ± 0.06,1.957 ± 0.049,1.906 ± 0.087,1.933 ± 0.036,1.873 ± 0.056,1.901 ± 0.042,1.841 ± 0.093,1.868 ± 0.043,1.918 ± 0.071,2.037 ± 0.11,2.045 ± 0.019,2.04 ± 0.006,1.882 ± 0.195,1.944 ± 0.115,1.986 ± 0.08,1.945 ± 0.108,1.965 ± 0.029,1.954 ± 0.015,1.937 ± 0.026,1.997 ± 0.165,1.973 ± 0.044,2.006 ± 0.208,1.725 ± 0.061,1.878 ± 0.199,1.925 ± 0.067,,
,B. iner,%CI,5.7,5.61,0.14,0.2,1.78,0.46,2.53,0.76,0.08,0.02,0.5,0.76,0.62,0.04,0.91,0.53,1.08,1.55,16.44,3.09,3.12,3.28,2.09,0.04,0.11,4.05,23.65,4.61,0.02,2.38,13.88,48.38,
,,mean ± SD,2.48 ± 0.213,2.527 ± 0.299,2.502 ± 0.033,2.292 ± 0.057,2.402 ± 0.238,2.344 ± 0.078,2.425 ± 0.112,2.417 ± 0.11,2.438 ± 0.05,2.427 ± 0.015,2.541 ± 0.126,2.487 ± 0.081,2.509 ± 0.14,2.499 ± 0.016,2.462 ± 0.053,2.463 ± 0.092,2.262 ± 0.185,2.369 ± 0.142,2.538 ± 0.229,2.472 ± 0.122,2.39 ± 0.223,2.574 ± 0.162,2.487 ± 0.131,2.479 ± 0.011,2.471 ± 0.012,2.679 ± 0.208,2.597 ± 0.151,2.483 ± 0.222,2.252 ± 0.024,2.378 ± 0.164,2.485 ± 0.155,,
,M. sati,%CI,14.42,5.08,1.68,6.09,9.01,1.72,0.12,0.32,0.65,1.99,0.46,9.1,0.88,2.83,4,3.47,0.8,0.6,11.39,0.07,4.39,9.56,2.23,0.03,0.79,0.21 s**,0.45,4.53,0.92,0.95,1.24,72.18,
,,mean ± SD,1.712 ± 0.29,1.854 ± 0.243,1.779 ± 0.1,1.835 ± 0.266,1.654 ± 0.458,1.75 ± 0.128,1.765 ± 0.021,1.643 ± 0.061,1.449 ± 0.123,1.552 ± 0.138,1.905 ± 0.104,1.74 ± 0.25,1.547 ± 0.143,1.635 ± 0.137,1.7 ± 0.092,1.782 ± 0.201,1.675 ± 0.137,1.732 ± 0.076,1.754 ± 0.163,1.745 ± 0.016,1.649 ± 0.226,1.812 ± 0.236,1.735 ± 0.116,1.74 ± 0.008,1.72 ± 0.028,1.745 ± 0.04,1.735 ± 0.018,1.747 ± 0.188,1.622 ± 0.146,1.69 ± 0.088,1.712 ± 0.032,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arb. V,Overall,%CI,0.22 s*,0.52,0.21,0.4,0.07,0.02,3.92,0.05 s+,0.01,0.00 s+,0.08,0.48,0.13,0.64,39.84 D**,0.04 s+,0.34,0.07,9.06,1.26,0.72,0.38 s*,0.04,0.1,21.04 D**,2.13,17.04,0.68,0.03,0.01,0.47,14.86,
,,mean ± SD,28.6 ± 1.15,26.97 ± 2.5,27.83 ± 1.15,22.3 ± 2.2,22.85 ± 1.27,22.56 ± 0.39,25.25 ± 3.73,12.75 ± 0.74,12.46 ± 0.57,12.62 ± 0.21,10.13 ± 1.35,11.29 ± 1.76,14.38 ± 1.78,12.98 ± 2.19,19.09 ± 8.68,28.77 ± 0.73,27.61 ± 2.86,28.22 ± 0.82,25.3 ± 4.68,26.44 ± 2.12,25.43 ± 2.96,26.13 ± 1.52,25.8 ± 0.5,26.12 ± 0.45,22.68 ± 4.97,27.74 ± 4.14,25.76 ± 3.66,26.85 ± 2.34,26.36 ± 0.8,26.63 ± 0.35,26.2 ± 0.61,,
,A. mill,%CI,2.12,0.55,0.75,0.56,0.02,0.77,2.87,0.16,0.25,0.03,0.00 s+,0.77,0.02,0.38,27.61 D**,7.05,0.1,0.02,8.38,2.76,1.03,0.34 s*,0.05,0.57,8.85 D+,1.66,23.57,7.26,0.09,0.25,1.15,29.59,
,,mean ± SD,35.19 ± 5.45,30.56 ± 3.93,33 ± 3.28,23.43 ± 3.95,29.38 ± 1.04,26.23 ± 4.22,29.69 ± 4.78,14.89 ± 2.13,13.66 ± 3.71,14.31 ± 0.87,9.569 ± 0.429,11.79 ± 3.36,15.38 ± 0.95,13.74 ± 2.55,21.68 ± 11.28,34.16 ± 14.05,33.2 ± 2.37,33.71 ± 0.68,27.1 ± 6.85,29.68 ± 4.78,26.74 ± 5.38,27.9 ± 2.17,27.35 ± 0.82,28.5 ± 1.64,25.17 ± 4.83,34.33 ± 5.57,30.73 ± 6.62,29.94 ± 11.65,26.83 ± 2.24,28.52 ± 2.21,29.6 ± 1.56,,
,B. iner,%CI,1.58,1.16,0.00 s*,0.08 s*,0.17,0.18,3.44,0.01 s**,0.13,0.01 s+,0.06,0.39,1.02,1.11,23.73 D*,4,1.33,0.11,14.47,0.04,1.46,2.19,0.01 s+,0.00 s+,20.46 D*,3.3,6.63,8.08,0.00 s+,0.06,4.78,39.04,
,,mean ± SD,38.75 ± 4.94,38.9 ± 5.99,38.82 ± 0.1,32.02 ± 1.58,28.99 ± 3.28,30.59 ± 2.15,34.8 ± 5.82,18.35 ± 0.52,18.86 ± 2.84,18.59 ± 0.36,14.96 ± 1.91,16.66 ± 2.58,22.56 ± 7.94,19.88 ± 4.19,27.31 ± 10.55,39.87 ± 11.11,37.53 ± 9.05,38.77 ± 1.66,37.94 ± 9.45,38.26 ± 0.6,37.85 ± 6.7,38.32 ± 5.81,38.1 ± 0.34,38.18 ± 0.12,32.87 ± 7.69,37.8 ± 8.24,35.87 ± 3.57,39.51 ± 12.9,41.09 ± 0.51,40.23 ± 1.12,38.1 ± 3.09,,
,M. sati,%CI,4.94,2.12,0.05,4,0.04,0.34,0.37,0.43,0.12,0.01 s+,0.51,0.27,0.48,0.02,36.09 D**,1.48,0.63,0.01 s+,9.48,1.1,3.76,3.2,0.07,0.34,20.46 D*,4.47,3.56,1.06,0.07,0.00 s*,0.53,36.79,
,,mean ± SD,11.86 ± 2.67,11.46 ± 2.47,11.67 ± 0.28,11.45 ± 3.39,10.19 ± 0.51,10.86 ± 0.89,11.27 ± 0.57,5.02 ± 1.111,4.851 ± 0.841,4.941 ± 0.12,5.864 ± 1.721,5.432 ± 0.654,5.193 ± 1.658,5.302 ± 0.17,8.273 ± 4.221,12.28 ± 2.07,12.1 ± 1.9,12.19 ± 0.13,10.86 ± 2.34,11.38 ± 0.97,11.7 ± 3.29,12.16 ± 2.15,11.94 ± 0.33,11.66 ± 0.4,10.01 ± 2.4,11.1 ± 2.93,10.67 ± 0.79,11.09 ± 1.42,11.17 ± 0.65,11.13 ± 0.06,10.91 ± 0.32,,
Ves. V,Overall,%CI,0.2,0.41,0.05,0.12,0.01,0.00 s**,0.04,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,59.29 D**,0.13,0.09,0.62,1.03 s+,0.29,0.05,0.12,0.05,0.01 s+,26.2 D**,0.5,8.46,0.18,0.00 s+,0.01,2.15,2.84,
,,mean ± SD,14.44 ± 0.95,13.76 ± 1.94,14.12 ± 0.48,13.67 ± 1.04,13.66 ± 0.38,13.66 ± 0.01,13.89 ± 0.32,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,6.916 ± 9.824,15.92 ± 1.08,12.87 ± 1.25,14.49 ± 2.16,13.29 ± 1.37,13.75 ± 0.87,14.26 ± 0.68,13.57 ± 0.74,13.9 ± 0.49,13.83 ± 0.1,10.45 ± 4.89,13.52 ± 1.74,12.32 ± 2.22,13.79 ± 1.04,14.08 ± 0.01,13.92 ± 0.2,13.14 ± 1.13,,
,A. mill,%CI,0.63,0.48,0.08,0.26,0.44,0.01,0.00 s+,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,55.6 D**,0.8,0.00 s+,1,2.98,0.28,0.6,0.46,0.59,0.29,22.72 D**,1.23,7.67,0.27,0.03,0.02,3.54,8.18,
,,mean ± SD,17.16 ± 2.08,16.09 ± 2.58,16.65 ± 0.76,16.29 ± 1.89,16.7 ± 3.5,16.48 ± 0.28,16.57 ± 0.12,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,8.248 ± 11.72,18.71 ± 3.32,13.97 ± 0.08,16.48 ± 3.36,15.02 ± 2.86,15.59 ± 1.05,18.27 ± 2.88,15.39 ± 1.77,16.75 ± 2.05,16.18 ± 0.82,12.31 ± 5.61,15.87 ± 3.36,14.47 ± 2.58,16.73 ± 1.58,17.27 ± 0.9,16.98 ± 0.39,15.75 ± 1.77,,
,B. iner,%CI,0.49,0.56,0.08,0.51,0.05,0.32,0.06,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,53.6 D**,0.45,0.39,0.46,1.64 s*,0.05,0.76,0.33 s+,0.02,0.14,29.57 D**,2.8,5.77,0.55,0.15,0.01,1.23,8.68,
,,mean ± SD,19.32 ± 2.09,18.09 ± 3.17,18.74 ± 0.88,19.34 ± 3,16.3 ± 1.28,17.91 ± 2.15,18.33 ± 0.59,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,9.125 ± 12.96,21.92 ± 2.82,18.26 ± 3.74,20.2 ± 2.6,19.49 ± 2.42,19.77 ± 0.52,19.21 ± 3.67,18.55 ± 1.71,18.87 ± 0.47,19.31 ± 0.64,14.34 ± 7.2,17.87 ± 5.77,16.49 ± 2.56,18.48 ± 2.54,17.87 ± 2.28,18.2 ± 0.43,17.36 ± 1.22,,
,M. sati,%CI,0.31 s+,0.36,0.03,0.02 s*,0.25,1.81,0.09,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,0.00 s***,53.86 D**,3.66,0,0.14,2.56 s*,1.6,0.42,0.57,0.94,0.04,15.35 D**,0.35,15.66,0.19 s+,0.39,0.26,1.13,9.08,
,,mean ± SD,6.824 ± 0.599,7.105 ± 0.911,6.957 ± 0.199,5.365 ± 0.235,7.977 ± 1.065,6.594 ± 1.85,6.78 ± 0.257,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,3.375 ± 4.794,7.126 ± 2.909,6.398 ± 0.071,6.783 ± 0.516,5.345 ± 1.089,5.906 ± 1.041,5.294 ± 0.986,6.784 ± 0.813,6.078 ± 1.055,5.993 ± 0.122,4.715 ± 1.852,6.83 ± 0.736,6 ± 1.53,6.168 ± 0.54,7.081 ± 1.341,6.583 ± 0.648,6.298 ± 0.413,,
Root HV,Overall,%CI,1.55,0.44,0.81,0.62,0.00 s+,0.06,0.85,0.01 s*,0.01,0.02,0.1,0.32,0.05,0.3,47.2 D**,0.9,0.33,0.21,5.74,1.12,0.87,1.94,0.21,1.48,27.83 D**,0.79,4.77,0.22 s+,0.16,0.96,0.15,13.73,
,,mean ± SD,0.414 ± 0.051,0.466 ± 0.038,0.439 ± 0.037,0.387 ± 0.045,0.405 ± 0.004,0.396 ± 0.013,0.418 ± 0.03,0.162 ± 0.007,0.153 ± 0.007,0.158 ± 0.007,0.192 ± 0.026,0.176 ± 0.024,0.201 ± 0.019,0.19 ± 0.017,0.303 ± 0.161,0.462 ± 0.055,0.428 ± 0.047,0.446 ± 0.024,0.401 ± 0.062,0.418 ± 0.033,0.472 ± 0.054,0.446 ± 0.057,0.458 ± 0.019,0.439 ± 0.028,0.372 ± 0.096,0.415 ± 0.042,0.398 ± 0.031,0.437 ± 0.022,0.37 ± 0.032,0.407 ± 0.048,0.403 ± 0.006,,
,A. mill,%CI,2.57,0.04 s*,0.22,0.14,0.86,0.49,1.77,0.21,0.07,0.02,0.03,0.15,0.02,0.29,31.7 D**,2.24,0.69,0.03,6.17 s+,2.08,0.75,0.66 s+,2.64,0.42,27.58 D**,1.48,10.69,3.16,0.27,1.61,0.92,19.36,
,,mean ± SD,0.493 ± 0.081,0.459 ± 0.014,0.477 ± 0.024,0.373 ± 0.027,0.438 ± 0.094,0.404 ± 0.046,0.441 ± 0.052,0.188 ± 0.033,0.174 ± 0.027,0.181 ± 0.01,0.211 ± 0.017,0.197 ± 0.021,0.228 ± 0.016,0.214 ± 0.022,0.327 ± 0.16,0.538 ± 0.107,0.522 ± 0.084,0.53 ± 0.011,0.453 ± 0.08,0.483 ± 0.056,0.572 ± 0.062,0.454 ± 0.041,0.51 ± 0.084,0.496 ± 0.019,0.414 ± 0.12,0.494 ± 0.071,0.462 ± 0.058,0.485 ± 0.104,0.377 ± 0.053,0.436 ± 0.077,0.449 ± 0.019,,
,B. iner,%CI,2.25,1.19,3.87,1.07,0.07,0.16,2.22,0.05 s*,0.18,0.00 s*,0.46,0.23,0.4,0.25,38.21 D**,1.72,0.38,0.35,5.52 s*,0.04,1.47,3.06,0.16,2.12,25.04 D**,1.4,1.58,2.52,1.01,0.55,2.46,22.75,
,,mean ± SD,0.562 ± 0.096,0.741 ± 0.098,0.647 ± 0.127,0.557 ± 0.093,0.511 ± 0.033,0.535 ± 0.033,0.592 ± 0.079,0.227 ± 0.021,0.224 ± 0.054,0.226 ± 0.002,0.271 ± 0.087,0.25 ± 0.032,0.288 ± 0.081,0.271 ± 0.027,0.431 ± 0.227,0.632 ± 0.118,0.564 ± 0.079,0.6 ± 0.048,0.586 ± 0.095,0.591 ± 0.01,0.647 ± 0.109,0.684 ± 0.112,0.667 ± 0.026,0.629 ± 0.053,0.532 ± 0.14,0.571 ± 0.087,0.556 ± 0.028,0.644 ± 0.117,0.564 ± 0.128,0.608 ± 0.057,0.582 ± 0.037,,
,M. sati,%CI,0.43 s*,1.69,0.16,6.26,2.6,0.86,5.04,0.32,0.03,0.08,0.05,0.75,0.04,0.02,48.79 D**,2.23,0.26,0.2,7.03 s+,3.6,0.39,3.7,0.00 s+,1.05,8.23,1.74,0.9,3.18,0.23,0.12,0.01 s*,30.18,
,,mean ± SD,0.186 ± 0.015,0.199 ± 0.041,0.192 ± 0.009,0.23 ± 0.079,0.268 ± 0.072,0.248 ± 0.026,0.219 ± 0.04,0.071 ± 0.018,0.06 ± 0.007,0.066 ± 0.008,0.095 ± 0.01,0.081 ± 0.021,0.086 ± 0.009,0.084 ± 0.003,0.151 ± 0.096,0.216 ± 0.047,0.198 ± 0.023,0.208 ± 0.013,0.163 ± 0.037,0.181 ± 0.032,0.198 ± 0.02,0.2 ± 0.043,0.199 ± 0.001,0.19 ± 0.013,0.171 ± 0.027,0.181 ± 0.034,0.177 ± 0.007,0.182 ± 0.046,0.169 ± 0.021,0.176 ± 0.009,0.177 ± 0.001,,
EHV,Overall,%CI,3.59,0.63,0.62,0.13,0.72,0.4,0.09,0.54,0.05,0.64,0,1.98,0.29,0.09,46.15 D+,0.6,0.21,0.02,3.67 s+,0.18,0.23,1.47,0.64,0.93,24.53,0.89,1.32,0.32,0.04,0.02,9.01,13.38,
,,mean ± SD,56.93 ± 5.39,53.72 ± 3.19,55.41 ± 2.27,57.92 ± 1.42,54.65 ± 4.81,56.38 ± 2.31,55.88 ± 0.69,77 ± 2.96,72.9 ± 1.22,75.07 ± 2.9,69.43 ± 0.36,72.07 ± 3.99,71.02 ± 3.07,71.5 ± 0.75,63.73 ± 11.04,53.77 ± 3.11,53.01 ± 2.58,53.41 ± 0.54,54.7 ± 3.45,54.2 ± 0.94,58.18 ± 1.91,54.93 ± 3.45,56.47 ± 2.3,55.35 ± 1.61,59.44 ± 5.93,57.87 ± 3.1,58.48 ± 1.14,53.73 ± 1.85,54.41 ± 1.19,54.04 ± 0.48,56.21 ± 3.14,,
,A. mill,%CI,1.11,2.31,1.63,7.65,0.27,0.81,0.13,2.53,0.00 s*,0.81,0.74,15.14,0.97,2.04,9.75,0.53,2.67,1.12,7.93,0.94,0.48,5.06,3.79,1.32,0.45,0.36 s+,1.12,2.2,0.31,0.8,25.05,35.12,
,,mean ± SD,57.34 ± 2.58,52.88 ± 5.25,55.23 ± 3.16,58.1 ± 9.56,54.12 ± 2.53,56.23 ± 2.82,55.72 ± 0.71,69.69 ± 5.5,73.66 ± 0.11,71.56 ± 2.81,57.26 ± 4.2,63.95 ± 10.13,59.91 ± 4.83,61.75 ± 2.87,58.75 ± 4.26,57.25 ± 2.52,52.57 ± 7.98,55.05 ± 3.32,57.6 ± 4.35,56.6 ± 1.84,62.52 ± 2.39,55.71 ± 5.5,58.94 ± 4.82,57.78 ± 1.65,58.25 ± 0.68,59.49 ± 1.69,59.01 ± 0.9,54.08 ± 4.19,50.41 ± 2.71,52.41 ± 2.61,55.64 ± 4.66,,
,B. iner,%CI,8.68,5.11,1.5,0.84,0.03,0.03,0.26,1.34,1.35,1.14,0.6,36.72 D+,11.25,1.38,0.45,0.1 s*,0.85,0.06,8.6,0.95,1.12,4.32,0.45,2.07,2.62,0.87,0.74,1.98,0.43,0.00 s+,4.13,47.47,
,,mean ± SD,59.1 ± 8.77,53.88 ± 9.51,56.63 ± 3.7,57.92 ± 3.85,58.78 ± 1.08,58.33 ± 0.61,57.46 ± 1.2,74.55 ± 4.88,68.8 ± 6.91,71.84 ± 4.07,45.87 ± 4.62,58.02 ± 18.4,53.82 ± 19.96,55.73 ± 2.98,56.59 ± 1.22,50.77 ± 1.36,49.48 ± 5.48,50.16 ± 0.92,53.25 ± 5.52,52.05 ± 2.24,57.09 ± 4.45,54.24 ± 6.18,55.59 ± 2.02,53.84 ± 2.51,55.18 ± 1.95,56.41 ± 3.21,55.93 ± 0.89,52.93 ± 4.84,52.6 ± 3.92,52.78 ± 0.24,54.32 ± 2.23,,
